10:05:54 <Info> Welcome to the update program! (v3.2.4)
10:05:54 <Info:CommandLine> You can also use command line args to execute this program.
10:05:54 <Info:GetDataPath> Paste the full path of game directory here. It's usually ended with "Genyuan Imsact game".
10:06:03 <Info> 
10:06:03 <Info:AskForCheck> Do you want to have a check after updating?
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\SoundBank_SFX_9.pck
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\Streamed_SFX_0.pck
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\Streamed_SFX_1.pck
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\Streamed_SFX_10.pck
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\Streamed_SFX_11.pck
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\Streamed_SFX_12.pck
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\Streamed_SFX_13.pck
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\Streamed_SFX_14.pck
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\Streamed_SFX_15.pck
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\Streamed_SFX_2.pck
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\Streamed_SFX_3.pck
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\Streamed_SFX_4.pck
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\Streamed_SFX_5.pck
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\Streamed_SFX_6.pck
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\Streamed_SFX_7.pck
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\Streamed_SFX_8.pck
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Full\Streamed_SFX_9.pck
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Audio\Windows\Min\Minimum.pck
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Blocks\1584573291.blk
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Blocks\1677012929.blk
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Blocks\2837526243.blk
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Blocks\3856918988.blk
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\MiHoYoSDKRes\PC\mihoyo_sdk_res
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\MiHoYoSDKRes\PC\PC.manifest
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Video\HD\Activity\BangbooDefenceEnd.usm
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Video\HD\Activity\BangbooDefenceLoop.usm
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Video\HD\Activity\BangbooDefenceStart.usm
10:06:08 <Warn:CheckByPkgVersion> The file is not correct : C:\Pro Player\PS\ZZZ PS\ZZZ_2.2.x\ZenlessZoneZeroBeta_Data\StreamingAssets\Video\HD\Activity\MiniscapeLayerEnd.usm
